Applicant,ADMIT,ADMIT (Binary),GRE,GPA,RANK,,Applicant,DISTANCE FROM APPLICANT 1051,DISTANCE FROM APPLICANT 1055,,,,,,
1020,YES,1,540,3.81,1,,1020,2.236626925,2.284928883,,APPLICANT 1051 CALCULATIONS,,,,
1021,NO,0,500,3.17,3,,1021,0.69,0.17,,SORTED APPLICANT,SORTED GRE,CLOSEST DISTANCES FROM 1051,NEIGHBOR WEIGHTS (1/distance),WEIGHTED GRE (weight * GRE)
1022,YES,1,660,3.63,2,,1022,1.432794472,1.44364123,,1063,640,0.19,5.263157895,3368.421053
1023,NO,0,600,2.82,4,,1023,1.442775104,1.127120224,,1050,400,0.51,1.960784314,784.3137255
1024,NO,0,680,3.19,4,,1024,1.203702621,1.011187421,,1044,500,0.55,1.818181818,909.0909091
1025,YES,1,760,3.35,2,,1025,1.503362897,1.414248917,,1057,560,0.67,1.492537313,835.8208955
1026,YES,1,800,3.66,1,,1026,2.244994432,2.258849265,,1021,500,0.696,1.436781609,718.3908046
1027,YES,1,620,3.61,1,,1027,2.25,2.252309925,,,,TOTALS:,11.97144295,6616.037387
1028,YES,1,520,3.74,4,,1028,1.4192956,1.469693846,,,,,,
1029,YES,1,780,3.22,2,,1029,1.552288633,1.4192956,,,(Sum of Weighted GER / Sum of Neighbor Weights),,Applicant 1051 Weighted GRE:,552.651624
1030,NO,0,520,3.29,1,,1030,2.079639392,2.000624902,,,,,,
1031,NO,0,540,3.78,4,,1031,1.003194896,1.092520023,,,,,,
1039,YES,1,500,3.13,2,,1039,1.591508718,1.429720252,,APPLICANT 1055 CALCULATIONS,,,,
1040,YES,1,520,2.68,3,,1040,1.546738504,1.198165264,,SORTED APPLICANT,SORTED GRE,CLOSEST DISTANCES FROM 1055,NEIGHBOR WEIGHTS (1/distance),WEIGHTED GRE (weight * GRE)
1041,NO,0,560,2.42,2,,1041,1.75316856,1.35882302,,1050,400,0.01,100,40000
1042,YES,1,580,3.32,2,,1042,1.513803158,1.414354977,,1044,500,0.03,33.33333333,16666.66667
1043,YES,1,600,3.15,2,,1043,1.582434833,1.426919759,,1057,560,0.15,6.666666667,3733.333333
1044,NO,0,500,3.31,3,,1044,0.55,0.03,,1021,500,0.17,5.882352941,2941.176471
1045,NO,0,700,2.94,2,,1045,1.35882302,1.077032961,,1063,640,0.33,3.03030303,1939.393939
1046,YES,1,460,3.45,3,,1046,1.08078675,1.006031809,,,,TOTALS:,148.912656,65280.57041
1047,YES,1,580,3.46,2,,1047,1.469693846,1.4192956,,,,,,
1048,NO,0,500,2.97,4,,1048,1.338693393,1.066255129,,,(Sum of Weighted GER / Sum of Neighbor Weights),,Applicant 1055 Weighted GRE:,438.3816136
1050,NO,0,400,3.35,3,,1050,0.51,0.01,,,,,,
1051,NO,0, ,3.86,3,,1051,,,,,,,,
1052,NO,0,440,3.13,4,,1052,1.238103388,1.021812116,,,,,,
1053,NO,0,740,3.37,4,,1053,1.113597773,1.000449899,,,,,,
1054,YES,1,680,3.27,2,,1054,1.532351135,1.415944914,,,,,,
1055,NO,0, ,3.34,3,,1055,,,,,,,,
1056,YES,1,740,4,3,,1056,1.009752445,1.198165264,,,,,,
1057,NO,0,560,3.19,3,,1057,0.67,0.15,,,,,,
1058,NO,0,380,2.94,3,,1058,0.92,0.4,,,,,,
1059,NO,0,400,3.65,2,,1059,1.021812116,1.046947945,,,,,,
1061,YES,1,620,3.18,2,,1061,1.56920362,1.42323575,,,,,,
1062,NO,0,560,3.32,4,,1062,1.136485812,1.00019998,,,,,,
1063,NO,0,640,3.67,3,,1063,0.19,0.33,,,,,,
1064,YES,1,680,3.85,3,,1064,1.000049999,1.122541759,,,,,,
1066,NO,0,600,3.59,2,,1066,1.035808863,1.030776406,,,,,,
1067,NO,0,740,3.62,4,,1067,1.028396811,1.038460399,,,,,,
1068,NO,0,620,3.3,1,,1068,2.076920798,2.00039996,,,,,,
